# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-2.36181 -0.00733612 -1.42982 0 0 4.38838e+17 1.55466e-05 8066.54 350.526 13980.1 0 0 0 0 0 0 0 0 
-2.26131 -0.00719871 -1.42968 0 0 4.36992e+17 1.56295e-05 8066.54 350.526 13364.4 0 0 0 0 0 0 0 0 
-2.1608 -0.00706749 -1.42955 0 0 4.35197e+17 1.5709e-05 8066.54 350.526 12751.2 0 0 0 0 0 0 0 0 
-2.0603 -0.00694241 -1.42942 0 0 4.33459e+17 1.57852e-05 8066.54 350.526 12140.5 0 0 0 0 0 0 0 0 
-1.9598 -0.00682346 -1.42931 0 0 4.31781e+17 1.5858e-05 8066.54 350.526 11532.2 0 0 0 0 0 0 0 0 
-1.8593 -0.00671061 -1.42919 0 0 4.30166e+17 1.59274e-05 8066.54 350.526 10926.2 0 0 0 0 0 0 0 0 
-1.75879 -0.00660384 -1.42909 0 0 4.2862e+17 1.59933e-05 8066.54 350.526 10322.4 0 0 0 0 0 0 0 0 
-1.65829 -0.00650312 -1.42899 0 0 4.27144e+17 1.60557e-05 8066.54 350.526 9720.79 0 0 0 0 0 0 0 0 
-1.55779 -0.00640844 -1.42889 0 0 4.25741e+17 1.61147e-05 8066.54 350.526 9121.18 0 0 0 0 0 0 0 0 
-1.45729 -0.00631978 -1.4288 0 0 4.24415e+17 1.617e-05 8066.54 350.526 8523.49 0 0 0 0 0 0 0 0 
-1.35678 -0.00623712 -1.42872 0 0 4.23168e+17 1.62218e-05 8066.54 350.526 7927.61 0 0 0 0 0 0 0 0 
-1.25628 -0.00616043 -1.42864 0 0 4.22001e+17 1.627e-05 8066.54 350.526 7333.43 0 0 0 0 0 0 0 0 
-1.15578 -0.00608971 -1.42857 0 0 4.20917e+17 1.63146e-05 8066.54 350.526 6740.83 0 0 0 0 0 0 0 0 
-1.05528 -0.00602494 -1.42851 0 0 4.19918e+17 1.63555e-05 8066.54 350.526 6149.7 0 0 0 0 0 0 0 0 
-0.954774 -0.0059661 -1.42845 0 0 4.19006e+17 1.63928e-05 8066.54 350.526 5559.91 0 0 0 0 0 0 0 0 
-0.854271 -0.00591318 -1.4284 0 0 4.1818e+17 1.64263e-05 8066.54 350.526 4971.34 0 0 0 0 0 0 0 0 
-0.753769 -0.00586617 -1.42835 0 0 4.17444e+17 1.64562e-05 8066.54 350.526 4383.87 0 0 0 0 0 0 0 0 
-0.653266 -0.00582506 -1.42831 0 0 4.16797e+17 1.64824e-05 8066.54 350.526 3797.38 0 0 0 0 0 0 0 0 
-0.552764 -0.00578984 -1.42827 0 0 4.16242e+17 1.65049e-05 8066.54 350.526 3211.73 0 0 0 0 0 0 0 0 
-0.452261 -0.00576051 -1.42824 0 0 4.15777e+17 1.65236e-05 8066.54 350.526 2626.79 0 0 0 0 0 0 0 0 
-0.351759 -0.00573704 -1.42822 0 0 4.15405e+17 1.65386e-05 8066.54 350.526 2042.45 0 0 0 0 0 0 0 0 
-0.251256 -0.00571945 -1.4282 0 0 4.15126e+17 1.65499e-05 8066.54 350.526 1458.57 0 0 0 0 0 0 0 0 
-0.150754 -0.00570773 -1.42819 0 0 4.14939e+17 1.65574e-05 8066.54 350.526 875.008 0 0 0 0 0 0 0 0 
-0.0502513 -0.00570186 -1.42818 0 0 4.14846e+17 1.65612e-05 8066.54 350.526 291.647 0 0 0 0 0 0 0 0 
0.0502513 -0.00570186 -1.42818 0 0 4.14846e+17 1.65612e-05 8066.54 350.526 -291.647 0 0 0 0 0 0 0 0 
0.150754 -0.00570773 -1.42819 0 0 4.14939e+17 1.65574e-05 8066.54 350.526 -875.008 0 0 0 0 0 0 0 0 
0.251256 -0.00571945 -1.4282 0 0 4.15126e+17 1.65499e-05 8066.54 350.526 -1458.57 0 0 0 0 0 0 0 0 
0.351759 -0.00573704 -1.42822 0 0 4.15405e+17 1.65386e-05 8066.54 350.526 -2042.45 0 0 0 0 0 0 0 0 
0.452261 -0.00576051 -1.42824 0 0 4.15777e+17 1.65236e-05 8066.54 350.526 -2626.79 0 0 0 0 0 0 0 0 
0.552764 -0.00578984 -1.42827 0 0 4.16242e+17 1.65049e-05 8066.54 350.526 -3211.73 0 0 0 0 0 0 0 0 
0.653266 -0.00582506 -1.42831 0 0 4.16797e+17 1.64824e-05 8066.54 350.526 -3797.38 0 0 0 0 0 0 0 0 
0.753769 -0.00586617 -1.42835 0 0 4.17444e+17 1.64562e-05 8066.54 350.526 -4383.87 0 0 0 0 0 0 0 0 
0.854271 -0.00591318 -1.4284 0 0 4.1818e+17 1.64263e-05 8066.54 350.526 -4971.34 0 0 0 0 0 0 0 0 
0.954774 -0.0059661 -1.42845 0 0 4.19006e+17 1.63928e-05 8066.54 350.526 -5559.91 0 0 0 0 0 0 0 0 
1.05528 -0.00602494 -1.42851 0 0 4.19918e+17 1.63555e-05 8066.54 350.526 -6149.7 0 0 0 0 0 0 0 0 
1.15578 -0.00608971 -1.42857 0 0 4.20917e+17 1.63146e-05 8066.54 350.526 -6740.83 0 0 0 0 0 0 0 0 
1.25628 -0.00616043 -1.42864 0 0 4.22001e+17 1.627e-05 8066.54 350.526 -7333.43 0 0 0 0 0 0 0 0 
1.35678 -0.00623712 -1.42872 0 0 4.23168e+17 1.62218e-05 8066.54 350.526 -7927.61 0 0 0 0 0 0 0 0 
1.45729 -0.00631978 -1.4288 0 0 4.24415e+17 1.617e-05 8066.54 350.526 -8523.49 0 0 0 0 0 0 0 0 
1.55779 -0.00640844 -1.42889 0 0 4.25741e+17 1.61147e-05 8066.54 350.526 -9121.18 0 0 0 0 0 0 0 0 
1.65829 -0.00650312 -1.42899 0 0 4.27144e+17 1.60557e-05 8066.54 350.526 -9720.79 0 0 0 0 0 0 0 0 
1.75879 -0.00660384 -1.42909 0 0 4.2862e+17 1.59933e-05 8066.54 350.526 -10322.4 0 0 0 0 0 0 0 0 
1.8593 -0.00671061 -1.42919 0 0 4.30166e+17 1.59274e-05 8066.54 350.526 -10926.2 0 0 0 0 0 0 0 0 
1.9598 -0.00682346 -1.42931 0 0 4.31781e+17 1.5858e-05 8066.54 350.526 -11532.2 0 0 0 0 0 0 0 0 
2.0603 -0.00694241 -1.42942 0 0 4.33459e+17 1.57852e-05 8066.54 350.526 -12140.5 0 0 0 0 0 0 0 0 
2.1608 -0.00706749 -1.42955 0 0 4.35197e+17 1.5709e-05 8066.54 350.526 -12751.2 0 0 0 0 0 0 0 0 
2.26131 -0.00719871 -1.42968 0 0 4.36992e+17 1.56295e-05 8066.54 350.526 -13364.4 0 0 0 0 0 0 0 0 
